"id"	"disease_code"	"disease_name"	"diseaseICD"	"disease_category"
"6742"	"SJXC"	"上睑下垂"	"H02.401"	"其它暂时无法归类的"
"6743"	"JBHXBHBQ"	"睑疤痕性闭合不全"	"H02.501"	"其它暂时无法归类的"
"6744"	"JLBHBQ"	"睑裂闭合不全"	"H02.502"	"其它暂时无法归类的"
"6745"	"JLXX"	"睑裂狭小"	"H02.503"	"其它暂时无法归类的"
"6746"	"JYNL"	"睑缘粘连"	"H02.504"	"其它暂时无法归类的"
"6747"	"SJTSZ"	"上睑退缩症"	"H02.505"	"其它暂时无法归类的"
"6748"	"YJBS"	"眼睑闭锁"	"H02.506"	"眼部疾病"
"6749"	"YJNLXBH"	"眼睑粘连性疤痕"	"H02.507"	"眼部疾病"
"6750"	"YJHBL"	"眼睑黄斑瘤"	"H02.601"	"眼部疾病"
"6751"	"JBXZFBX"	"睑板腺脂肪变性"	"H02.701"	"其它暂时无法归类的"
"6752"	"KZFTC"	"眶脂肪脱垂"	"H02.702"	"其它暂时无法归类的"
"6753"	"MMTL"	"眉毛脱落"	"H02.703"	"其它暂时无法归类的"
"6754"	"MQS"	"眉缺损"	"H02.704"	"其它暂时无法归类的"
"6755"	"YJHS"	"眼睑坏死"	"H02.705"	"眼部疾病"
"6756"	"YJJMTL"	"眼睑睫毛脱落"	"H02.751"	"眼部疾病"
"6757"	"YJBDF"	"眼睑白癜风"	"H02.752"	"眼部疾病"
"6758"	"CJXYJYW"	"陈旧性眼睑异物"	"H02.801"	"眼部疾病"
"6759"	"HTXNZJX"	"后天性内眦畸形"	"H02.802"	"畸形"
"6760"	"HTXWZJX"	"后天性外眦畸形"	"H02.803"	"畸形"
"6761"	"YJSZ"	"眼睑水肿"	"H02.804"	"眼部疾病"
"6762"	"SSHJJX"	"烧伤后睑畸形"	"H02.805"	"烧伤"
"6763"	"SSHMMQS"	"烧伤后眉毛缺损"	"H02.806"	"烧伤"
"6764"	"YJCX"	"眼睑出血"	"H02.807"	"眼部疾病"
"6765"	"YJHBB"	"眼睑黑变病"	"H02.808"	"眼部疾病"
"6766"	"YJHTXJX"	"眼睑后天性畸形"	"H02.809"	"眼部疾病"
"6767"	"YJNZ"	"眼睑囊肿"	"H02.810"	"眼部疾病"
"6768"	"YJPZXNZ"	"眼睑皮脂腺囊肿"	"H02.811"	"眼部疾病"
"6769"	"YZHTJX"	"眼眦后天畸形"	"H02.812"	"眼部疾病"
"6770"	"ZJX"	"眦畸形"	"H02.851"	"畸形"
"6771"	"YJCX"	"眼睑充血"	"H02.853"	"眼部疾病"
"6772"	"MEXNZ"	"莫尔腺囊肿"	"H02.854"	"囊肿"
"6773"	"YJXSW"	"眼睑新生物"	"H02.901"	"眼部疾病"
"6774"	"YJZW"	"眼睑肿物"	"H02.902"	"眼部疾病"
"6775"	"YJJH"	"眼睑疾患 NOS"	"H02.951"	"眼部疾病"
"6776"	"JXLXY"	"急性泪腺炎"	"H04.001"	"泪腺炎"
"6777"	"MXLXY"	"慢性泪腺炎"	"H04.002"	"泪腺炎"
"6778"	"MXLXFD"	"慢性泪腺肥大"	"H04.051"	"其它暂时无法归类的"
"6779"	"LXTC"	"泪腺脱出"	"H04.101"	"脱出"
"6780"	"LY"	"泪眼"	"H04.102"	"眼部疾病"
"6781"	"LYFMGS"	"泪液分泌过少"	"H04.103"	"其它暂时无法归类的"
"6782"	"YGZZHZ"	"眼干燥综合征"	"H04.104"	"眼部疾病"
"6783"	"LQNZ"	"泪器囊肿"	"H04.151"	"囊肿"
"6784"	"LQWS"	"泪器萎缩"	"H04.152"	"其它暂时无法归类的"
"6785"	"WSXLQWS"	"外伤性泪器萎缩"	"H04.153"	"其它暂时无法归类的"
"6786"	"LY"	"泪溢"	"H04.201"	"其它暂时无法归类的"
"6787"	"LXFMGD"	"泪腺分泌过多"	"H04.251"	"其它暂时无法归类的"
"6788"	"HNXLNY"	"化脓性泪囊炎"	"H04.301"	"泪囊炎"
"6789"	"JXLNY"	"急性泪囊炎"	"H04.302"	"泪囊炎"
"6790"	"LNNZ"	"泪囊脓肿"	"H04.303"	"脓肿"
"6791"	"LNY"	"泪囊炎"	"H04.304"	"泪囊炎"
"6792"	"LXGY"	"泪小管炎"	"H04.305"	"其它炎症"
"6793"	"JXLNZWY"	"急性泪囊周围炎"	"H04.351"	"其它炎症"
"6794"	"JXLXGY"	"急性泪小管炎"	"H04.352"	"其它炎症"
"6795"	"MXLNY"	"慢性泪囊炎"	"H04.401"	"泪囊炎"
"6796"	"LNNYY"	"泪囊粘液溢"	"H04.451"	"其它暂时无法归类的"
"6797"	"MXLNZWY"	"慢性泪囊周围炎"	"H04.452"	"其它炎症"
"6798"	"BLGBS"	"鼻泪管闭锁"	"H04.501"	"鼻部疾病"
"6799"	"BLGZS"	"鼻泪管阻塞"	"H04.502"	"鼻部疾病"
"6800"	"LDGZ"	"泪道梗阻"	"H04.503"	"其它暂时无法归类的"
"6801"	"LDXZ"	"泪道狭窄"	"H04.504"	"其它暂时无法归类的"
"6802"	"LDZS"	"泪道阻塞"	"H04.505"	"其它暂时无法归类的"
"6803"	"LXGZS"	"泪小管阻塞"	"H04.506"	"其它暂时无法归类的"
"6804"	"LGBS"	"泪管闭锁"	"H04.551"	"其它暂时无法归类的"
"6805"	"LS"	"泪石"	"H04.552"	"其它暂时无法归类的"
"6806"	"LDWF"	"泪点外翻"	"H04.553"	"外翻"
"6807"	"LNL"	"泪囊瘘"	"H04.601"	"瘘病"
"6808"	"LNNZ"	"泪囊囊肿"	"H04.602"	"囊肿"
"6809"	"LNNYNZ"	"泪囊粘液囊肿"	"H04.603"	"囊肿"
"6810"	"LGZD"	"泪管肿大"	"H04.651"	"其它暂时无法归类的"
"6811"	"LNPC"	"泪囊膨出"	"H04.652"	"其它暂时无法归类的"
"6812"	"LDGKZ"	"泪道(管)扩张"	"H04.653"	"其它暂时无法归类的"
"6813"	"LXGDL"	"泪小管断裂"	"H04.801"	"其它暂时无法归类的"
"6814"	"LQXDJH"	"泪器系的疾患 NOS"	"H04.951"	"其它暂时无法归类的"
"6815"	"KFWZY"	"眶蜂窝织炎"	"H05.001"	"蜂窝织炎"
"6816"	"KNNZ"	"眶内脓肿"	"H05.002"	"脓肿"
"6817"	"QJMY"	"球筋膜炎"	"H05.003"	"其它炎症"
"6818"	"YKGMY"	"眼眶骨膜炎"	"H05.051"	"眼部疾病"
"6819"	"YKGSY"	"眼眶骨髓炎"	"H05.052"	"眼部疾病"
"6820"	"KNRYZ"	"眶内肉芽肿"	"H05.101"	"肉芽肿"
"6821"	"KNYXJL"	"眶内炎性假瘤"	"H05.102"	"其他瘤"
"6822"	"YKFTYXYZ"	"眼眶非特异性炎症"	"H05.103"	"眼部疾病"
"6823"	"YKYXRYZ"	"眼眶炎性肉芽肿"	"H05.104"	"眼部疾病"
"6824"	"YQHYZ"	"眼球后炎症"	"H05.105"	"眼部疾病"
"6825"	"KBCX"	"眶部出血"	"H05.201"	"出血"
"6826"	"KNXZ"	"眶内血肿"	"H05.202"	"血肿"
"6827"	"YQTC"	"眼球突出"	"H05.203"	"眼部疾病"
"6828"	"YKSZ"	"眼眶水肿"	"H05.251"	"眼部疾病"
"6829"	"YQYW"	"眼球移位"	"H05.252"	"眼部疾病"
"6830"	"BDXTY"	"搏动性突眼"	"H05.253"	"眼部疾病"
"6831"	"JXXTY"	"间歇性突眼"	"H05.254"	"眼部疾病"
"6832"	"WSXTY"	"外伤性突眼"	"H05.255"	"眼部疾病"
"6833"	"YKWSGY"	"眼眶外生骨疣"	"H05.351"	"眼部疾病"
"6834"	"YKJX"	"眼眶畸形"	"H05.352"	"眼部疾病"
"6835"	"YKWS"	"眼眶萎缩"	"H05.353"	"眼部疾病"
"6836"	"YQXM"	"眼球陷没"	"H05.451"	"眼部疾病"
"6837"	"KNCJXYW"	"眶内陈旧性异物"	"H05.501"	"其它暂时无法归类的"
"6838"	"CJXQHYW"	"陈旧性球后异物"	"H05.551"	"其它暂时无法归类的"
"6839"	"KBNZ"	"眶部囊肿"	"H05.801"	"囊肿"
"6840"	"KBNYNZ"	"眶部粘液囊肿"	"H05.802"	"囊肿"
"6841"	"KNSPYNZ"	"眶内上皮样囊肿"	"H05.803"	"囊肿"
"6842"	"YKJL"	"眼眶假瘤"	"H05.804"	"眼部疾病"
"6843"	"KL"	"眶瘘"	"H05.851"	"瘘病"
"6844"	"KNZWXBB"	"眶内占位性病变"	"H05.901"	"其它疾病"
"6845"	"KNZW"	"眶内肿物"	"H05.902"	"其它暂时无法归类的"
"6846"	"YWJJB"	"眼外肌肌病"	"H05.951"	"眼部疾病"
"6847"	"NYNXJMY"	"粘液脓性结膜炎"	"H10.051"	"结膜炎"
"6848"	"KKWKSJMYJXCRXYY"	"科克－威克斯结膜炎[急性触染性眼炎]"	"H10.052"	"眼部疾病"
"6849"	"JMNZ"	"结膜脓肿"	"H10.053"	"脓肿"
"6850"	"BYXJMY"	"变应性结膜炎"	"H10.101"	"结膜炎"
"6851"	"CJJMY"	"春季结膜炎"	"H10.102"	"结膜炎"
"6852"	"KTXJMY"	"卡他性结膜炎"	"H10.201"	"结膜炎"
"6853"	"MLAKSFEDJMYSGJJMY"	"莫拉－阿克森费尔德结膜炎[双杆菌结膜炎]"	"H10.253"	"结膜炎"
"6854"	"JXJMY"	"急性结膜炎 NOS"	"H10.301"	"结膜炎"
"6855"	"QJMRYZ"	"球结膜肉芽肿"	"H10.401"	"肉芽肿"
"6856"	"MXJMY"	"慢性结膜炎"	"H10.402"	"结膜炎"
"6857"	"JMRYZ"	"结膜肉芽肿"	"H10.451"	"肉芽肿"
"6858"	"YZNZ"	"眼眦脓肿"	"H10.501"	"眼部疾病"
"6859"	"JJMY"	"睑结膜炎"	"H10.551"	"结膜炎"
"6860"	"GRXJMY"	"感染性结膜炎"	"H10.801"	"感染"
"6861"	"JMKY"	"结膜溃疡"	"H10.802"	"溃疡"
"6862"	"PLNJMYJMXMJB"	"帕里诺结膜炎[结膜纤毛菌病]"	"H10.852"	"结膜炎"
"6863"	"PLNYXXZHZ"	"帕里诺眼腺型综合征"	"H10.853"	"眼部疾病"
"6864"	"JMY"	"结膜炎 NOS"	"H10.901"	"结膜炎"
"6865"	"XJXJMY"	"细菌性结膜炎"	"H10.902"	"细菌性疾病"
"6866"	"YY"	"眼炎"	"H10.903"	"眼部疾病"
"6867"	"YZNR"	"翼状胬肉"	"H11.001"	"其它暂时无法归类的"
"6868"	"JMBX"	"结膜变性"	"H11.101"	"结膜疾病"
"6869"	"JLB"	"睑裂斑"	"H11.102"	"皮肤病"
"6870"	"GYBJMGZ"	"干眼病[结膜干燥]"	"H11.103"	"眼部疾病"
"6871"	"JMJH"	"结膜角化"	"H11.105"	"结膜疾病"
"6872"	"JMJS"	"结膜结石"	"H11.106"	"结膜疾病"
"6873"	"JMHB"	"结膜黄斑"	"H11.151"	"皮肤病"
"6874"	"JMHBBHSSCZB"	"结膜黑变病[黑色素沉着病]"	"H11.152"	"结膜疾病"
"6875"	"JMSSCZ"	"结膜色素沉着"	"H11.153"	"结膜疾病"
"6876"	"JQNL"	"睑球粘连"	"H11.201"	"其它暂时无法归类的"
"6877"	"JMBH"	"结膜疤痕"	"H11.202"	"结膜疾病"
"6878"	"JMCX"	"结膜出血"	"H11.301"	"结膜疾病"
"6879"	"JMNZ"	"结膜囊肿"	"H11.401"	"囊肿"
"6880"	"JMXGZS"	"结膜血管增生"	"H11.402"	"结膜疾病"
"6881"	"JMSZ"	"结膜水肿"	"H11.451"	"结膜疾病"
"6882"	"YCX"	"眼充血"	"H11.452"	"眼部疾病"
"6883"	"JMDML"	"结膜动脉瘤"	"H11.453"	"动脉瘤"
"6884"	"JXYZNR"	"假性翼状胬肉"	"H11.801"	"其它暂时无法归类的"
"6885"	"JJMZS"	"角结膜增生"	"H11.802"	"结膜疾病"
"6886"	"JMLBGKZ"	"结膜淋巴管扩张"	"H11.803"	"结膜疾病"
"6887"	"JMNJX"	"结膜囊畸形"	"H11.804"	"畸形"
"6888"	"JMNLS"	"结膜囊挛缩"	"H11.805"	"结膜疾病"
"6889"	"JMNXZ"	"结膜囊狭窄"	"H11.806"	"结膜疾病"
"6890"	"JMSC"	"结膜松驰"	"H11.807"	"结膜疾病"
"6891"	"JMXR"	"结膜息肉"	"H11.808"	"息肉"
"6892"	"SSHJML"	"手术后结膜瘘"	"H11.809"	"手术"
"6893"	"YJMTC"	"眼结膜脱垂"	"H11.810"	"眼部疾病"
"6894"	"JMZW"	"结膜肿物"	"H11.901"	"结膜疾病"
"6895"	"JMZSW"	"结膜赘生物"	"H11.951"	"结膜疾病"
"6896"	"GMKY"	"巩膜溃疡"	"H15.001"	"溃疡"
"6897"	"GMNZ"	"巩膜脓肿"	"H15.002"	"脓肿"
"6898"	"GMY"	"巩膜炎"	"H15.003"	"巩膜炎"
"6899"	"HGMY"	"后巩膜炎"	"H15.051"	"巩膜炎"
"6900"	"GMJMY"	"巩膜结膜炎"	"H15.052"	"结膜炎"
"6901"	"GMQJMY"	"巩膜球筋膜炎"	"H15.053"	"其它炎症"
"6902"	"HSXGMY"	"坏死性巩膜炎"	"H15.054"	"巩膜炎"
"6903"	"RYZXGMY"	"肉芽肿性巩膜炎"	"H15.055"	"肉芽肿"
"6904"	"HNXGMY"	"化脓性巩膜炎"	"H15.056"	"巩膜炎"
"6905"	"SGMYGMWCY"	"上巩膜炎[巩膜外层炎]"	"H15.151"	"巩膜炎"
"6906"	"HNXSGMY"	"化脓性上巩膜炎"	"H15.152"	"巩膜炎"
"6907"	"GMHBBHSSCZB"	"巩膜黑变病[黑色素沉着病]"	"H15.801"	"其它疾病"
"6908"	"GMPTZQHJZT"	"巩膜葡萄肿(前)(后)(睫状体)"	"H15.802"	"其它暂时无法归类的"
"6909"	"GMRYZ"	"巩膜肉芽肿"	"H15.803"	"肉芽肿"
"6910"	"GMNL"	"巩膜粘连"	"H15.804"	"其它暂时无法归类的"
"6911"	"JZTGMPTZ"	"睫状体巩膜葡萄肿"	"H15.805"	"其它暂时无法归类的"
"6912"	"CKXGMRHZ"	"穿孔性巩膜软化症"	"H15.851"	"其它暂时无法归类的"
"6913"	"GMHS"	"巩膜坏死"	"H15.852"	"其它暂时无法归类的"
"6914"	"GMPC"	"巩膜膨出"	"H15.853"	"其它暂时无法归类的"
"6915"	"GMJH"	"巩膜疾患 NOS"	"H15.951"	"其它暂时无法归类的"
"6916"	"BDXJMKY"	"病毒性角膜溃疡"	"H16.001"	"溃疡"
"6917"	"JMCK"	"角膜穿孔"	"H16.002"	"角膜疾病"
"6918"	"JMKY"	"角膜溃疡"	"H16.003"	"溃疡"
"6919"	"QFJNXJMKY"	"前房积脓性角膜溃疡"	"H16.004"	"溃疡"
"6920"	"YJMKYCK"	"眼角膜溃疡穿孔"	"H16.005"	"眼部疾病"
"6921"	"ZBXJMKY"	"周边性角膜溃疡"	"H16.051"	"溃疡"
"6922"	"ZXXJMKY"	"中心性角膜溃疡"	"H16.052"	"溃疡"
"6923"	"JMKYBQFJNX"	"角膜溃疡伴前房积脓性"	"H16.053"	"溃疡"
"6924"	"HXXJMKY"	"环形性角膜溃疡"	"H16.054"	"溃疡"
"6925"	"JMYBJMKY"	"角膜炎伴角膜溃疡"	"H16.055"	"角膜炎"
"6926"	"DGXYY"	"电光性眼炎"	"H16.101"	"眼部疾病"
"6927"	"QCDZJMY"	"浅层点状角膜炎"	"H16.102"	"角膜炎"
"6928"	"GXJMY"	"光性角膜炎"	"H16.151"	"角膜炎"
"6929"	"SZJMY"	"丝状角膜炎"	"H16.152"	"角膜炎"
"6930"	"YXJMY"	"晕性角膜炎"	"H16.153"	"角膜炎"
"6931"	"RGXYYXM"	"日光性眼炎[雪盲]"	"H16.154"	"眼部疾病"
"6932"	"GHXYY"	"光化性眼炎"	"H16.155"	"眼部疾病"
"6933"	"BLXJMJMY"	"暴露性角膜结膜炎"	"H16.201"	"结膜炎"
"6934"	"XPXJMJMY"	"小泡性角膜结膜炎"	"H16.202"	"结膜炎"
"6935"	"JJXYY"	"结节性眼炎"	"H16.251"	"眼部疾病"
"6936"	"JMJMY"	"角膜结膜炎"	"H16.252"	"结膜炎"
"6937"	"SJYYXJMJMY"	"神经营养性角膜结膜炎"	"H16.253"	"神经系统疾病"
"6938"	"KGSZHZJZXJMYZHZ"	"科根氏综合征(间质性角膜炎综合征)"	"H16.301"	"角膜炎"
"6939"	"JMNZ"	"角膜脓肿"	"H16.302"	"脓肿"
"6940"	"SZXJMY"	"实质性角膜炎"	"H16.303"	"角膜炎"
"6941"	"YHXJMY"	"硬化性角膜炎"	"H16.304"	"角膜炎"
"6942"	"JZXJMY"	"间质性角膜炎"	"H16.351"	"角膜炎"
"6943"	"JMXGY"	"角膜血管翳"	"H16.401"	"角膜疾病"
"6944"	"DPXJMY"	"大泡性角膜炎"	"H16.803"	"角膜炎"
"6945"	"YMJZJMY"	"疫苗接种角膜炎"	"H16.804"	"角膜炎"
"6946"	"DPXJMJMY"	"大疱性角膜结膜炎"	"H16.805"	"结膜炎"
"6947"	"NLXJMY"	"粘连性角膜炎"	"H16.806"	"角膜炎"
"6948"	"FYXJMY"	"反应性角膜炎"	"H16.807"	"角膜炎"
"6949"	"ZJXJMY"	"真菌性角膜炎"	"H16.808"	"真菌性疾病"
"6950"	"HNXJMY"	"化脓性角膜炎"	"H16.809"	"角膜炎"
"6951"	"SJMBXJMY"	"神经麻痹性角膜炎"	"H16.810"	"神经系统疾病"
"6952"	"SZJMY"	"束状角膜炎"	"H16.811"	"角膜炎"
"6953"	"GZXJMY"	"干燥性角膜炎"	"H16.851"	"角膜炎"
"6954"	"SHXJMY"	"石化性角膜炎"	"H16.852"	"角膜炎"
"6955"	"XPXJMY"	"小泡性角膜炎"	"H16.853"	"角膜炎"
"6956"	"GMJMY"	"巩膜角膜炎"	"H16.854"	"角膜炎"
"6957"	"JMY"	"角膜炎"	"H16.901"	"角膜炎"
"6958"	"KTXJMY"	"卡他性角膜炎"	"H16.951"	"角膜炎"
"6959"	"XJXJMY"	"细菌性角膜炎"	"H16.952"	"细菌性疾病"
"6960"	"JMNLXBB"	"角膜粘连性白斑"	"H17.001"	"皮肤病"
"6961"	"ZXXJMHZ"	"中心性角膜混浊"	"H17.151"	"角膜疾病"
"6962"	"JMBB"	"角膜白斑"	"H17.801"	"皮肤病"
"6963"	"JMBYBYJMY"	"角膜斑翳(薄翳)[角膜翳]"	"H17.802"	"皮肤病"
"6964"	"JMYY"	"角膜云翳"	"H17.803"	"角膜疾病"
"6965"	"GYXJMBH"	"干眼性角膜瘢痕"	"H17.851"	"眼部疾病"
"6966"	"JMBH"	"角膜瘢痕"	"H17.901"	"角膜疾病"
"6967"	"JMHZ"	"角膜混浊 NOS"	"H17.902"	"角膜疾病"
"6968"	"JMHBBZLXLNXHSSCZ"	"角膜黑变病(早老性)(老年性)[黑色素沉着]"	"H18.002"	"角膜疾病"
"6969"	"JMXR"	"角膜血染"	"H18.003"	"角膜疾病"
"6970"	"JMSSCZW"	"角膜色素沉着物"	"H18.051"	"角膜疾病"
"6971"	"KZFLSEHJM"	"凯泽－弗莱舍尔环(角膜)"	"H18.052"	"角膜疾病"
"6972"	"KLKBGS"	"克鲁肯贝格梭"	"H18.053"	"其它暂时无法归类的"
"6973"	"STLXJMSSX"	"施特里线[角膜色素线]"	"H18.054"	"角膜疾病"
"6974"	"JMJX"	"角膜积血"	"H18.055"	"角膜疾病"
"6975"	"JMXCZ"	"角膜血沉着"	"H18.056"	"角膜疾病"
"6976"	"DPXJMB"	"大泡性角膜病"	"H18.101"	"角膜疾病"
"6977"	"JMSZ"	"角膜水肿"	"H18.201"	"角膜疾病"
"6978"	"TSMTMPL"	"特塞梅特膜破裂"	"H18.351"	"其它暂时无法归类的"
"6979"	"TSMTMZZ"	"特塞梅特膜绉折"	"H18.352"	"其它暂时无法归类的"
"6980"	"JMBX"	"角膜变性"	"H18.401"	"角膜疾病"
"6981"	"JMDZBX"	"角膜带状变性"	"H18.402"	"角膜疾病"
"6982"	"JMJHB"	"角膜角化病"	"H18.403"	"角膜疾病"
"6983"	"JMRH"	"角膜软化"	"H18.404"	"角膜疾病"
"6984"	"LNH"	"老年环"	"H18.405"	"其它暂时无法归类的"
"6985"	"BXXJMHZ"	"变性性角膜混浊"	"H18.451"	"角膜疾病"
"6986"	"HSEHLXTHYJMD"	"哈索尔-亨利小体或疣(角膜的)"	"H18.452"	"疣病"
"6987"	"DZJMB"	"带状角膜病"	"H18.453"	"角膜疾病"
"6988"	"JZXYCXJMBX"	"家族性遗传性角膜变性"	"H18.501"	"角膜疾病"
"6989"	"JMYYBL"	"角膜营养不良"	"H18.502"	"营养不良"
"6990"	"FKSYYBL"	"富克斯营养不良"	"H18.551"	"营养不良"
"6991"	"YCXJMYYBL"	"遗传性角膜营养不良"	"H18.552"	"营养不良"
"6992"	"PXJMYYBL"	"皮性角膜营养不良"	"H18.553"	"营养不良"
"6993"	"FKSSZHZFKSSYSXJZTY"	"富克斯氏综合征[富克斯氏异色性睫状体炎]"	"H18.554"	"其它炎症"
"6994"	"YZXJM"	"圆锥形角膜"	"H18.601"	"角膜疾病"
"6995"	"JMHDLCPC"	"角膜后弹力层膨出"	"H18.701"	"角膜疾病"
"6996"	"JMPTZ"	"角膜葡萄肿"	"H18.702"	"角膜疾病"
"6997"	"QXJM"	"球形角膜"	"H18.703"	"角膜疾病"
"6998"	"JMTC"	"角膜突出"	"H18.751"	"角膜疾病"
"6999"	"JMKZ"	"角膜扩张"	"H18.752"	"角膜疾病"
"7000"	"JMGZZ"	"角膜干燥症"	"H18.801"	"角膜疾病"
"7001"	"JMNPSDC"	"角膜内皮失代偿"	"H18.802"	"角膜疾病"
"7002"	"JMPZ"	"角膜皮赘"	"H18.804"	"角膜疾病"
"7003"	"JMQKL"	"角膜切口瘘"	"H18.805"	"瘘病"
"7004"	"JMSPTL"	"角膜上皮脱落"	"H18.806"	"角膜疾病"
"7005"	"JMYXZW"	"角膜炎性肿物"	"H18.807"	"角膜炎"
"7006"	"FFXJMML"	"复发性角膜糜烂"	"H18.851"	"角膜疾病"
"7007"	"JMGJJT"	"角膜感觉减退"	"H18.852"	"角膜疾病"
"7008"	"JMGJQS"	"角膜感觉缺失"	"H18.853"	"角膜疾病"
"7009"	"HMJMNPZHZ"	"虹膜角膜内皮综合征"	"H18.854"	"角膜疾病"
"7010"	"CJXJMY"	"陈旧性角膜炎"	"H18.901"	"角膜炎"
"7011"	"JMJH"	"角膜疾患 NOS"	"H18.951"	"角膜疾病"
"7012"	"CSXHMJZTY"	"创伤性虹膜睫状体炎"	"H20.001"	"膜睫状体炎"
"7013"	"FFXHMJZTY"	"复发性虹膜睫状体炎"	"H20.002"	"膜睫状体炎"
"7014"	"QFJN"	"前房积脓"	"H20.003"	"其它暂时无法归类的"
"7015"	"JXHMJZTY"	"急性虹膜睫状体炎"	"H20.004"	"膜睫状体炎"
"7016"	"QFJNXHMJZTY"	"前房积脓性虹膜睫状体炎"	"H20.005"	"膜睫状体炎"
"7017"	"YJXHMJZTY"	"亚急性虹膜睫状体炎"	"H20.051"	"膜睫状体炎"
"7018"	"NYXHMJZTY"	"内源性虹膜睫状体炎"	"H20.052"	"膜睫状体炎"
"7019"	"BTFYXHMJZTY"	"变态反应性虹膜睫状体炎"	"H20.053"	"膜睫状体炎"
"7020"	"FRYZXHMJZTY"	"非肉芽肿性虹膜睫状体炎"	"H20.054"	"膜睫状体炎"
"7021"	"FFXPTMY"	"复发性葡萄膜炎"	"H20.055"	"其它炎症"
"7022"	"MXHMJZTY"	"慢性虹膜睫状体炎"	"H20.101"	"膜睫状体炎"
"7023"	"MXYSSMYMXPTMY"	"慢性眼色素膜炎[慢性葡萄膜炎])"	"H20.103"	"眼部疾病"
"7024"	"RYZXSSMY"	"肉芽肿性色素膜炎"	"H20.104"	"肉芽肿"
"7025"	"RYZXHMJZTY"	"肉芽肿性虹膜睫状体炎"	"H20.151"	"膜睫状体炎"
"7026"	"JTYFXYSSMY"	"晶体诱发性眼色素膜炎"	"H20.201"	"眼部疾病"
"7027"	"JTYFXHMJZTY"	"晶体诱发性虹膜睫状体炎"	"H20.251"	"膜睫状体炎"
"7028"	"HMNZ"	"虹膜脓肿"	"H20.801"	"脓肿"
"7029"	"YSSCNMYFGTXLZHZ"	"眼色素层脑膜炎[福格特－小柳综合征]"	"H20.803"	"眼部疾病"
"7030"	"QSSMY"	"全色素膜炎"	"H20.804"	"其它炎症"
"7031"	"YHSXSSMY"	"眼坏死型色素膜炎"	"H20.805"	"眼部疾病"
"7032"	"YSXHMY"	"异色性虹膜炎"	"H20.806"	"其它炎症"
"7033"	"DCXHMYSZ"	"单纯性虹膜异色症"	"H20.851"	"虹膜疾病"
"7034"	"PTMYYS"	"葡萄膜炎异色"	"H20.852"	"其它炎症"
"7035"	"PTMDNY"	"葡萄膜大脑炎"	"H20.853"	"脑炎"
"7036"	"HMJZTY"	"虹膜睫状体炎 NOS"	"H20.901"	"膜睫状体炎"
"7037"	"JFXHMY"	"继发性虹膜炎"	"H20.903"	"其它炎症"
"7038"	"YSSMYPTMY"	"眼色素膜炎[葡萄膜炎]"	"H20.904"	"眼部疾病"
"7039"	"JMPTMY"	"角膜葡萄膜炎"	"H20.951"	"角膜疾病"
"7040"	"HMCX"	"虹膜出血"	"H21.001"	"出血"
"7041"	"YQFCX"	"眼前房出血"	"H21.002"	"眼部疾病"
"7042"	"HMXSXGXC"	"虹膜新生血管形成"	"H21.101"	"血管疾病"
"7043"	"HMHB"	"虹膜红变"	"H21.102"	"虹膜疾病"
"7044"	"HMHJZTXXGXC"	"虹膜或睫状体新血管形成"	"H21.151"	"血管疾病"
"7045"	"HMBX"	"虹膜变性"	"H21.201"	"虹膜疾病"
"7046"	"HMQS"	"虹膜缺损"	"H21.202"	"虹膜疾病"
"7047"	"HMWSTFXJXX"	"虹膜萎缩(特发性)(进行性)"	"H21.203"	"虹膜疾病"
"7048"	"HMSSXBX"	"虹膜色素性变性"	"H21.251"	"虹膜疾病"
"7049"	"BTMHM"	"半透明虹膜"	"H21.252"	"虹膜疾病"
"7050"	"TKYBX"	"瞳孔缘变性"	"H21.253"	"瞳孔疾病"
"7051"	"STXTKNZ"	"缩瞳性瞳孔囊肿"	"H21.254"	"囊肿"
"7052"	"HMBLZ"	"虹膜壁裂症"	"H21.255"	"虹膜疾病"
"7053"	"HMNZSCXZRXJSC"	"虹膜囊肿(渗出性)(植入性)(寄生虫)"	"H21.301"	"寄生虫病"
"7054"	"JZTNZSCXZRXJSC"	"睫状体囊肿(渗出性)(植入性)(寄生虫)"	"H21.351"	"寄生虫病"
"7055"	"QFNZYSCXZRXJSC"	"前房囊肿(眼)(渗出性)(植入性)(寄生虫)"	"H21.352"	"眼部疾病"
"7056"	"TKMB"	"瞳孔膜闭"	"H21.401"	"瞳孔疾病"
"7057"	"HMPL"	"虹膜膨隆"	"H21.451"	"虹膜疾病"
"7058"	"TKBS"	"瞳孔闭锁"	"H21.452"	"瞳孔疾病"
"7059"	"CJXHMJZTY"	"陈旧性虹膜睫状体炎"	"H21.501"	"膜睫状体炎"
"7060"	"CJXYSSMYCJXPTMY"	"陈旧性眼色素膜炎[陈旧性葡萄膜炎]"	"H21.502"	"眼部疾病"
"7061"	"HMLD"	"虹膜离断"	"H21.503"	"虹膜疾病"
"7062"	"HMNL"	"虹膜粘连"	"H21.505"	"虹膜疾病"
"7063"	"QFHTFJHT"	"前房后退[房角后退]"	"H21.506"	"其它暂时无法归类的"
"7064"	"QFJPL"	"前房角破裂"	"H21.507"	"其它暂时无法归类的"
"7065"	"TKHNL"	"瞳孔后粘连"	"H21.508"	"瞳孔疾病"
