"id"	"disease_code"	"disease_name"	"diseaseICD"	"disease_category"
"11567"	"ZZJXCX"	"指(趾)甲下出血"	"L60.802"	"出血"
"11568"	"BPZZJ"	"扁平指(趾)甲"	"L60.851"	"其它暂时无法归类的"
"11569"	"FJAJCZJ"	"反甲[凹甲；匙状甲]"	"L60.852"	"其它暂时无法归类的"
"11570"	"ZJZXSW"	"趾甲周新生物"	"L60.853"	"其它暂时无法归类的"
"11571"	"JJH"	"甲疾患 NOS"	"L60.951"	"其它暂时无法归类的"
"11572"	"TBQT"	"头部全秃"	"L63.051"	"头部疾病"
"11573"	"QSTM"	"全身脱毛"	"L63.151"	"其它暂时无法归类的"
"11574"	"FXXTF"	"匐行性脱发"	"L63.251"	"脱发"
"11575"	"QTJXXTF"	"其他局限性脱发"	"L63.851"	"脱发"
"11576"	"BT"	"斑秃 NOS"	"L63.901"	"皮肤病"
"11577"	"YWXTF"	"药物性脱发"	"L64.051"	"脱发"
"11578"	"QTXJSXTF"	"其他雄激素性脱发"	"L64.851"	"脱发"
"11579"	"XJSXTF"	"雄激素性脱发 NOS"	"L64.951"	"脱发"
"11580"	"JZQTF"	"静止期脱发"	"L65.051"	"脱发"
"11581"	"ZSQTF"	"再生期脱发"	"L65.151"	"脱发"
"11582"	"NDBXTF"	"粘蛋白性脱发"	"L65.251"	"脱发"
"11583"	"QTTZFBHXMFQF"	"其他特指非瘢痕性毛发缺乏"	"L65.851"	"瘢痕"
"11584"	"ZLXTF"	"早老性脱发"	"L65.901"	"脱发"
"11585"	"ZYXTF"	"脂溢性脱发"	"L65.902"	"脱发"
"11586"	"MFXSZ"	"毛发稀少症"	"L65.903"	"其它暂时无法归类的"
"11587"	"TF"	"脱发 NOS"	"L65.904"	"脱发"
"11588"	"JBT"	"假斑秃"	"L66.051"	"皮肤病"
"11589"	"MFBPTX"	"毛发扁平苔癣"	"L66.151"	"皮肤病"
"11590"	"TFXCCMNYKKSB"	"脱发性痤疮[毛囊炎][坎科氏病]"	"L66.251"	"脱发"
"11591"	"NZXTBMNZWY"	"脓肿性头部毛囊周围炎"	"L66.351"	"脓肿"
"11592"	"WZHBWSXMNY"	"网状红斑萎缩性毛囊炎"	"L66.451"	"皮肤病"
"11593"	"QTBHXTF"	"其他瘢痕性脱发"	"L66.851"	"脱发"
"11594"	"BHXTF"	"瘢痕性脱发 NOS"	"L66.951"	"脱发"
"11595"	"JJXCFB"	"结节性脆发病"	"L67.051"	"其它疾病"
"11596"	"FSYC"	"发色异常"	"L67.151"	"其它暂时无法归类的"
"11597"	"HTXJXXBF"	"后天性局限性白发"	"L67.152"	"其它暂时无法归类的"
"11598"	"MFYS"	"毛发异色"	"L67.153"	"其它暂时无法归类的"
"11599"	"HF"	"灰发"	"L67.154"	"其它暂时无法归类的"
"11600"	"CFZ"	"脆发症"	"L67.851"	"其它暂时无法归类的"
"11601"	"MSYC"	"毛色异常 NOS"	"L67.951"	"其它暂时无法归类的"
"11602"	"MGYC"	"毛干异常 NOS"	"L67.952"	"其它暂时无法归类的"
"11603"	"NXXDMZ"	"男性型多毛症"	"L68.051"	"其它暂时无法归类的"
"11604"	"HTXTMGD"	"后天性胎毛过多"	"L68.151"	"其它暂时无法归类的"
"11605"	"JXXDMZ"	"局限性多毛症"	"L68.251"	"其它暂时无法归类的"
"11606"	"DMZ"	"多毛症"	"L68.301"	"其它暂时无法归类的"
"11607"	"QTDMZ"	"其他多毛症"	"L68.851"	"其它暂时无法归类的"
"11608"	"DMZ"	"多毛症 NOS"	"L68.951"	"其它暂时无法归类的"
"11609"	"FC"	"粉刺"	"L70.001"	"其它暂时无法归类的"
"11610"	"NPXCC"	"脓疱性痤疮"	"L70.002"	"痤疮"
"11611"	"JHXCC"	"聚会性痤疮"	"L70.151"	"痤疮"
"11612"	"DYCC"	"痘样痤疮"	"L70.251"	"痤疮"
"11613"	"HSXCC"	"坏死性痤疮"	"L70.252"	"痤疮"
"11614"	"SLXHSXCC"	"粟粒性坏死性痤疮"	"L70.253"	"痤疮"
"11615"	"RDCC"	"热带痤疮"	"L70.351"	"痤疮"
"11616"	"YECC"	"婴儿痤疮"	"L70.451"	"痤疮"
"11617"	"BPTLXCC"	"表皮脱落性痤疮"	"L70.551"	"痤疮"
"11618"	"QTCC"	"其他痤疮"	"L70.851"	"痤疮"
"11619"	"CC"	"痤疮 NOS"	"L70.901"	"痤疮"
"11620"	"KZPY"	"口周皮炎"	"L71.001"	"皮炎"
"11621"	"BZFDXJZB"	"鼻赘[肥大性酒糟鼻]"	"L71.151"	"鼻部疾病"
"11622"	"QTJZB"	"其他酒渣鼻"	"L71.851"	"鼻部疾病"
"11623"	"JZB"	"酒渣鼻 NOS"	"L71.901"	"鼻部疾病"
"11624"	"BPYNZ"	"表皮样囊肿"	"L72.001"	"囊肿"
"11625"	"QGPXNZ"	"躯干皮下囊肿"	"L72.002"	"囊肿"
"11626"	"TGBPXNZ"	"头颈部皮下囊肿"	"L72.003"	"囊肿"
"11627"	"PZNZFL"	"皮脂囊肿(粉瘤)"	"L72.101"	"囊肿"
"11628"	"KKTSXL"	"科克特殊性瘤"	"L72.151"	"其他瘤"
"11629"	"EKJXNZ"	"耳廓假性囊肿"	"L72.152"	"耳部疾病"
"11630"	"MFNZ"	"毛发囊肿"	"L72.153"	"囊肿"
"11631"	"DFXZNLPZNLB"	"多发性脂囊瘤(皮脂囊瘤病)"	"L72.201"	"其他瘤"
"11632"	"PFFL"	"皮肤粉瘤"	"L72.251"	"皮肤病"
"11633"	"ZNL"	"脂囊瘤"	"L72.252"	"其他瘤"
"11634"	"QTPFLPNZ"	"其他皮肤滤泡囊肿"	"L72.851"	"皮肤病"
"11635"	"EHNZ"	"耳后囊肿"	"L72.901"	"耳部疾病"
"11636"	"PFLPNZ"	"皮肤滤泡囊肿 NOS"	"L72.951"	"皮肤病"
"11637"	"CCXBL"	"痤疮性瘢瘤"	"L73.051"	"痤疮"
"11638"	"XBJMNY"	"须部假毛囊炎"	"L73.151"	"毛囊炎"
"11639"	"HNXHXY"	"化脓性汗腺炎"	"L73.201"	"其它炎症"
"11640"	"HXY"	"汗腺炎"	"L73.251"	"其它炎症"
"11641"	"HNXPHXHXYBLCSB"	"化脓性破坏性汗腺炎[波利策氏病]"	"L73.252"	"其它炎症"
"11642"	"XC"	"须疮"	"L73.801"	"疮"
"11643"	"LPXPY"	"滤泡性皮炎"	"L73.851"	"皮炎"
"11644"	"LNXPZXZSBPZX"	"老年性皮脂腺增生(病-皮脂腺)"	"L73.852"	"其它疾病"
"11645"	"MNY"	"毛囊炎"	"L73.901"	"毛囊炎"
"11646"	"PZXB"	"皮脂腺病"	"L73.951"	"其它疾病"
"11647"	"MNZWY"	"毛囊周围炎"	"L73.952"	"其它炎症"
"11648"	"FZSZHZ"	"痱子(粟疹；汗疹)"	"L74.001"	"粟疹"
"11649"	"HSZ"	"红粟疹"	"L74.051"	"粟疹"
"11650"	"JZSZ"	"晶状粟疹"	"L74.151"	"粟疹"
"11651"	"SSZ"	"深粟疹"	"L74.251"	"粟疹"
"11652"	"RDSZ"	"热带粟疹"	"L74.252"	"粟疹"
"11653"	"JZSLZ"	"胶状粟粒疹"	"L74.351"	"皮肤病"
"11654"	"WH"	"无汗"	"L74.401"	"其它暂时无法归类的"
"11655"	"QTWFMHXJH"	"其他外分泌汗腺疾患"	"L74.851"	"其它暂时无法归类的"
"11656"	"HXJB"	"汗腺疾病 NOS"	"L74.951"	"其它疾病"
"11657"	"HCYC"	"汗臭(腋臭)"	"L75.051"	"其它暂时无法归类的"
"11658"	"SHZ"	"色汗症"	"L75.151"	"其它暂时无法归类的"
"11659"	"FKSFDSBGXSLZZHZ"	"福克斯-福代斯病[干性粟粒疹综合征]"	"L75.201"	"皮肤病"
"11660"	"DJFMXSZ"	"顶(浆分)泌腺粟疹"	"L75.251"	"粟疹"
"11661"	"QTDJFMHXJH"	"其他顶(浆分)泌汗腺疾患"	"L75.851"	"其它暂时无法归类的"
"11662"	"DJFMXJH"	"顶(浆分)泌腺疾患 NOS"	"L75.951"	"其它暂时无法归类的"
"11663"	"BBBDF"	"白斑[白癜风]"	"L80.X01"	"皮肤病"
"11664"	"YZHSSCZGD"	"炎症后色素沉着过度"	"L81.051"	"其它炎症"
"11665"	"HHB"	"褐黄斑"	"L81.151"	"皮肤病"
"11666"	"QB"	"雀斑"	"L81.251"	"皮肤病"
"11667"	"KFB"	"咖啡斑"	"L81.351"	"皮肤病"
"11668"	"NNB"	"牛奶斑"	"L81.352"	"皮肤病"
"11669"	"RSHBB"	"瑞氏黑变病"	"L81.451"	"其它疾病"
"11670"	"HPB"	"黑皮病"	"L81.452"	"其它疾病"
"11671"	"HSSCZZ"	"黑色素沉着症"	"L81.453"	"其它暂时无法归类的"
"11672"	"XTXZSB"	"先天性着色斑"	"L81.454"	"皮肤病"
"11673"	"BBB"	"白斑病"	"L81.551"	"白斑病"
"11674"	"PFYSB"	"皮肤异色病"	"L81.601"	"皮肤病"
"11675"	"HSSXCJSDQTJH"	"黑色素形成减少的其他疾患"	"L81.651"	"其它暂时无法归类的"
"11676"	"SBGSSPFBJXXSSCZXZDXP"	"尚贝格色素皮肤病[进行性色素沉着性紫癜性皮肤病]"	"L81.751"	"皮肤病"
"11677"	"FXXXGL"	"匐行性血管瘤"	"L81.752"	"血管瘤"
"11678"	"WS"	"纹身"	"L81.801"	"其它暂时无法归类的"
"11679"	"PFSSCZ"	"皮肤色素沉着"	"L81.851"	"皮肤病"
"11680"	"SSPFB"	"色素皮肤病"	"L81.951"	"皮肤病"
"11681"	"LNY"	"老年疣"	"L82.X01"	"疣病"
"11682"	"ZYXJHZJDXBRTZL"	"脂溢性角化症[基底细胞乳头状瘤]"	"L82.X02"	"妇科疾病"
"11683"	"LZTLLTB"	"莱泽－特雷拉特病"	"L82.X51"	"其它疾病"
"11684"	"HJPBHSJHB"	"黑棘皮病(黑色角化病)"	"L83.X01"	"其它疾病"
"11685"	"JHJPB"	"假黑棘皮病"	"L83.X02"	"其它疾病"
"11686"	"RHXWZRTZLGRLKETBHZHZ"	"融合性网状乳头状瘤[古热罗－卡尔托病或综合征]"	"L83.X51"	"妇科疾病"
"11687"	"JY"	"鸡眼"	"L84.X01"	"眼部疾病"
"11688"	"PZ"	"胼胝"	"L84.X02"	"其它暂时无法归类的"
"11689"	"HTXYLX"	"后天性鱼鳞癣"	"L85.051"	"皮肤病"
"11690"	"PFJHBHTXZZJHB"	"皮肤角化病[后天性掌跖角化病)"	"L85.101"	"皮肤病"
"11691"	"DZJHBZZ"	"点状角化病(掌跖)"	"L85.251"	"其它疾病"
"11692"	"PFGZZ"	"皮肤干燥症"	"L85.351"	"皮肤病"
"11693"	"PFGZXPY"	"皮肤干燥性皮炎"	"L85.352"	"皮肤病"
"11694"	"JHJPL"	"角化棘皮瘤"	"L85.801"	"皮瘤"
"11695"	"PJ"	"皮角"	"L85.802"	"其它暂时无法归类的"
"11696"	"PZXZ"	"皮脂腺痣"	"L85.803"	"痣"
"11697"	"JHGD"	"角化过度"	"L85.951"	"其它暂时无法归类的"
"11698"	"PFSPZS"	"皮肤上皮增生"	"L85.952"	"皮肤病"
"11699"	"MNZJHBKE"	"毛囊周角化病[克尔]"	"L87.051"	"其它疾病"
"11700"	"FYXCKXJYB"	"反应性穿孔性胶原病"	"L87.151"	"其它疾病"
"11701"	"FXCKXDXZZBX"	"匐行穿孔性弹性组织变性"	"L87.251"	"其它暂时无法归类的"
"11702"	"QTJBPPCJH"	"其他经表皮排除疾患"	"L87.851"	"其它暂时无法归类的"
"11703"	"JBPPCJH"	"经表皮排除疾患 NOS"	"L87.951"	"其它暂时无法归类的"
"11704"	"HJXNPB"	"坏疽性脓皮病"	"L88.X01"	"疽病"
"11705"	"HJXPY"	"坏疽性皮炎"	"L88.X51"	"皮炎"
"11706"	"SCXNPZ"	"蚀疮性脓皮症"	"L88.X52"	"疮"
"11707"	"RC"	"褥疮"	"L89.X01"	"疮"
"11708"	"SGKY"	"石膏溃疡"	"L89.X51"	"溃疡"
"11709"	"YHXWSXTXBDB"	"硬化性萎缩性苔癣[白点病]"	"L90.001"	"皮肤病"
"11710"	"SWNGEBQYBPFSS"	"施韦宁格尔－布齐(有斑)皮肤松施"	"L90.151"	"皮肤病"
"11711"	"YZSPLZLYBPFSS"	"雅棕松－佩利扎里(有斑)皮肤松施"	"L90.251"	"皮肤病"
"11712"	"TFXPFWS"	"特发性皮肤萎缩"	"L90.351"	"皮肤病"
"11713"	"MXWSXZPY"	"慢性萎缩性肢皮炎"	"L90.451"	"皮炎"
"11714"	"BHLS"	"瘢痕挛缩"	"L90.501"	"瘢痕"
"11715"	"BH"	"瘢痕"	"L90.502"	"瘢痕"
"11716"	"SSHBH"	"手术后瘢痕"	"L90.503"	"手术"
"11717"	"TXBH"	"痛性瘢痕"	"L90.551"	"其它疼痛"
"11718"	"XZBH"	"下肢瘢痕"	"L90.552"	"瘢痕"
"11719"	"NLXBH"	"粘连性瘢痕"	"L90.553"	"瘢痕"
"11720"	"BHJX"	"瘢痕畸形"	"L90.554"	"畸形"
"11721"	"SBBH"	"手部瘢痕"	"L90.555"	"瘢痕"
"11722"	"SZBH"	"上肢瘢痕"	"L90.556"	"瘢痕"
"11723"	"GBBH"	"颈部瘢痕"	"L90.557"	"瘢痕"
"11724"	"MBBH"	"面部瘢痕"	"L90.558"	"瘢痕"
"11725"	"WSW"	"萎缩纹"	"L90.651"	"其它暂时无法归类的"
"11726"	"PFLNXWS"	"皮肤(老年性)萎缩"	"L90.801"	"皮肤病"
"11727"	"BDZPFWS"	"斑点状皮肤萎缩"	"L90.851"	"皮肤病"
"11728"	"PFWS"	"皮肤萎缩"	"L90.951"	"皮肤病"
"11729"	"YMBWS"	"颜面部萎缩"	"L90.952"	"其它暂时无法归类的"
"11730"	"BHGD"	"瘢痕疙瘩"	"L91.001"	"瘢痕"
"11731"	"FDXBH"	"肥大性瘢痕"	"L91.051"	"瘢痕"
"11732"	"PFZSW"	"皮肤赘生物"	"L91.851"	"皮肤病"
"11733"	"PFFDXJH"	"皮肤肥大性疾患 NOS"	"L91.951"	"皮肤病"
"11734"	"HXRYZ"	"环形肉芽肿"	"L92.051"	"肉芽肿"
"11735"	"ZXJJXHSABHMWEBHB"	"脂性渐进性坏死[奥本海姆－乌尔巴赫病]"	"L92.151"	"其它疾病"
"11736"	"SSXLBRYZ"	"嗜酸性淋巴肉芽肿"	"L92.201"	"肉芽肿"
"11737"	"MBRYZPFSSXXBRYZ"	"面部肉芽肿[皮肤嗜酸性细胞肉芽肿]"	"L92.251"	"皮肤病"
"11738"	"PXYWRYZ"	"皮下异物肉芽肿"	"L92.301"	"肉芽肿"
"11739"	"QTPFRYZXJH"	"其他皮肤肉芽肿性疾患"	"L92.851"	"皮肤病"
"11740"	"RYZ"	"肉芽肿 NOS"	"L92.901"	"肉芽肿"
"11741"	"PFYXRYZ"	"皮肤炎性肉芽肿"	"L92.951"	"皮肤病"
"11742"	"ZSRY"	"赘生肉芽"	"L92.952"	"其它暂时无法归类的"
"11743"	"HBLC"	"红斑狼疮"	"L93.001"	"皮肤病"
"11744"	"PZHBLC"	"盘状红斑狼疮(DLE)"	"L93.002"	"皮肤病"
"11745"	"BYTSB"	"比耶特氏病"	"L93.051"	"其它疾病"
"11746"	"YJXPFHBLC"	"亚急性皮肤红斑狼疮"	"L93.151"	"皮肤病"
"11747"	"JXXHBLC"	"局限性红斑狼疮"	"L93.251"	"皮肤病"
"11748"	"SBHBLC"	"深部红斑狼疮"	"L93.252"	"皮肤病"
"11749"	"LCZMY"	"狼疮脂膜炎"	"L93.253"	"皮肤病"
"11750"	"ADSSBHGDL"	"艾迪森氏瘢痕疙瘩(瘤)"	"L94.051"	"其他瘤"
"11751"	"JXXYPBYBB"	"局限性硬皮病[硬斑病]"	"L94.052"	"皮肤病"
"11752"	"XZYPB"	"线状硬皮病"	"L94.151"	"其它疾病"
"11753"	"LJDSSH"	"类军刀伤损害"	"L94.152"	"其它暂时无法归类的"
"11754"	"PXGH"	"皮下钙化"	"L94.201"	"其它暂时无法归类的"
"11755"	"PNGZCZ"	"皮内钙质沉着"	"L94.251"	"其它暂时无法归类的"
"11756"	"ZZYPB"	"指[趾]硬皮病"	"L94.351"	"其它疾病"
"11757"	"GTLQZ"	"戈特龙丘疹"	"L94.451"	"皮肤病"
"11758"	"XGXWSXPFYSZB"	"血管性萎缩性皮肤异色症(病)"	"L94.551"	"皮肤病"
"11759"	"ZFXDZBAHB"	"自发性断趾病[阿洪病]"	"L94.651"	"其它疾病"
